IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
FileSha256,7222c8acc69a7598989c335d528b366f801a41b434cbf928c6aef01f8e54f57a,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,28f3f5a3ea270d9b896fe38b9df79a6ca430f5edab0423b3d834cf8d586f13e6,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,c1c4e677b36a2ee6ae858546e727e73cc38c95c9024c724f939178b3c03de906,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,605c2047be7c4a17823ad1fa5c1f94fd105721fce3621dc9148cd3baf352938e,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,2d01c32d51e4bbb986255e402da4624a61b8ae960532fbb7bb0d3b0080cb9946,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,386cf4e151bc7510c3333eb1a5c96ab1b7becd8cfb94bcb76e93458078daf66f,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,7caed5f406445c788543f55af6d98a8bc4f0c104e6a51e2564dd37b6a485cc18,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,5455d104e693445dce5567236f4e047617bae7f09d5ca8699a838c2d17d37fb3,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,3dba9fbef8f8a42ecfa65022b8a3c54738d15ef67c666272078b58b3c9a0a414,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,e3ef50749f144bfd7f5d7d51aaa9e2332b706c4d8ac130fdc95f50662525f6e0,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,410afc5daebd7b39410b046286b814bb5fb5f9139167cd310bc59cc4461d4083,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,49b3d9c3bd6b6a13f89f0e849d80531454cc5cd259cbb7c8a806c67cd403575e,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,f1ba626b8181bd1cd84f47f70838d9fa4d8117fac3bd07cbd73cb6f73b1297f8,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,1a722cde21a4338b26bc37401ef963022d97cea141c985e6615a10287f8d02ff,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,b027467332243c8186e59f68ff7c43c9e212d9e5074fedf003febcfedad4381a,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,072ab57f9db16d9fb92009c8e10b176bd4a2eff01c3bc6e190020cf5a0055505,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,9fffabede0ef679970666f04184340437cd70bc8fe870ee8174713ececf32398,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,c9d46c319ed01c183598f7b9a60b9bca34b2eea989f4659e9aa27c7a1bf8681c,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,561092877e91f2741ed061cbe7a57d1af552b600c6654ccc588cb6bff7939152,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha256,b81d2293b43decd5a401487da952deb32cbb53f118882b97b457a14c67029247,,AlertAndBlock,High,File SHA1 Egregor,Ransomware Egregor,,,,
FileSha1,163865c4647e5656a7b02aebee4da902145c5548,,AlertAndBlock,Medium,qBot,Blocco qBot,,,,
IpAddress,49.12.104.241,,AlertAndBlock,High,IP Egregor,Ransomware Egregor,,,,
IpAddress,91.199.212.52,,AlertAndBlock,High,IP Egregor,Ransomware Egregor,,,,
DomainName,crt.sectigo.com,,AlertAndBlock,High,Domain Egregor,Ransomware Egregor,,,,
